date,n1,n2,n3,n4,n5,n6
2013-04-08,6,7,14,18,26,29
2013-04-11,12,14,18,28,38,41
2013-04-15,1,9,17,22,40,41
2013-04-18,14,23,28,36,37,41
2013-04-22,16,18,25,26,32,35
2013-04-25,2,8,11,13,20,28
2013-04-29,1,11,12,21,25,34
2013-05-02,3,6,21,24,32,43
2013-05-06,10,12,14,15,31,40
2013-05-09,17,18,22,27,36,40
2013-05-13,12,13,17,36,41,43
2013-05-16,9,11,17,18,20,35
2013-05-20,1,3,5,13,28,31
2013-05-23,1,3,13,20,21,39
2013-05-27,29,30,31,35,36,42
2013-05-30,17,21,29,31,38,43
2013-06-03,2,9,21,24,30,38
2013-06-06,12,19,27,38,41,42
2013-06-10,13,16,17,19,28,31
2013-06-13,4,7,16,17,37,38
2013-06-17,2,8,30,31,33,42
2013-06-20,8,17,26,27,30,37
2013-06-24,7,11,21,32,36,38
2013-06-27,11,16,27,31,32,38
2013-07-01,4,9,23,26,29,31
2013-07-04,6,10,11,12,17,21
2013-07-08,3,5,11,12,15,19
2013-07-11,9,15,22,30,41,42
2013-07-15,2,6,7,29,33,43
2013-07-18,2,5,12,18,28,41
2013-07-22,2,3,17,25,28,32
2013-07-25,14,20,31,33,38,41
2013-07-29,1,2,6,9,21,31
2013-08-01,7,13,15,31,34,35
2013-08-05,9,26,27,39,40,43
2013-08-08,3,15,22,28,30,41
2013-08-12,2,16,20,36,38,40
2013-08-15,2,7,12,20,24,36
2013-08-19,10,13,15,22,23,29
2013-08-22,15,22,23,26,37,43
2013-08-26,9,10,17,32,35,37
2013-08-29,5,11,14,15,25,38
2013-09-02,2,11,18,31,36,41
2013-09-05,9,14,21,29,31,39
2013-09-09,1,6,27,31,33,42
2013-09-12,14,22,31,36,42,43
2013-09-16,4,5,15,16,18,22
2013-09-19,1,4,6,16,36,37
2013-09-23,6,12,17,20,27,42
2013-09-26,2,9,16,30,31,33
2013-09-30,3,14,21,23,25,41
2013-10-03,8,14,22,24,33,34
2013-10-07,13,21,23,30,37,42
2013-10-10,10,17,21,25,36,39
2013-10-14,9,10,17,27,35,42
2013-10-17,8,23,28,32,38,42
2013-10-21,1,4,20,34,35,36
2013-10-24,12,15,18,23,38,40
2013-10-28,6,11,15,29,36,37
2013-10-31,7,9,11,12,16,38
2013-11-04,13,16,17,19,22,34
2013-11-07,4,15,19,23,36,40
2013-11-11,14,21,30,32,33,39
2013-11-14,21,30,33,35,40,43
2013-11-18,7,8,20,23,37,43
2013-11-21,17,19,22,26,32,41
2013-11-25,3,8,11,16,20,41
2013-11-28,3,6,9,17,23,24
2013-12-02,2,16,19,28,34,42
2013-12-05,4,11,15,25,34,40
2013-12-09,2,6,13,16,29,36
2013-12-12,20,32,34,38,40,43
2013-12-16,8,11,24,26,35,41
2013-12-19,1,6,30,35,40,41
2013-12-23,4,5,9,15,22,26
2013-12-26,4,16,20,21,28,37
2013-12-30,3,16,21,27,38,42
2014-01-02,5,8,9,11,13,16
2014-01-06,8,13,23,29,37,39
2014-01-09,22,23,30,31,37,41
2014-01-13,6,9,14,21,22,24
2014-01-16,24,30,33,39,41,42
2014-01-20,10,11,28,33,36,37
2014-01-23,6,11,17,29,39,43
2014-01-27,2,4,5,8,12,36
2014-01-30,4,7,13,17,33,43
2014-02-03,2,5,12,13,37,43
2014-02-06,9,15,22,30,34,43
2014-02-10,10,15,35,37,41,43
2014-02-13,1,14,15,16,31,34
2014-02-17,2,4,6,9,28,32
2014-02-20,4,9,11,14,34,38
2014-02-24,8,21,24,33,34,40
2014-02-27,1,7,14,28,37,38
2014-03-03,1,6,17,25,29,43
2014-03-06,21,26,27,29,41,42
2014-03-10,14,16,25,27,36,37
2014-03-13,14,16,21,23,31,34
2014-03-17,2,3,4,33,38,40
2014-03-20,7,22,36,38,40,41
2014-03-24,1,10,13,16,37,38
2014-03-27,6,24,31,32,34,42
2014-03-31,10,11,17,23,30,32
2014-04-03,4,12,17,25,30,34
2014-04-07,6,15,20,21,25,42
2014-04-10,19,20,25,38,39,41
2014-04-14,1,3,16,22,32,38
2014-04-17,11,17,21,25,33,39
2014-04-21,3,18,23,24,35,42
